"Almost dropped my morning coffee..
",surprise,y
"aprilia retweet Follow Maria Sharapova posts letter to her fans on Facebook page USA TODAY
",acceptance,y
"bbcworldservice There are bigger problems that Maria Sharapova in sport's war on drugs.
",fear,y
"Black America News The Maria Sharapova amp Serena Williams Media Double Standard
",acceptance,y
"falungong Sharapova fights back after  distorted  reporting of doping case Maria Sharapova denies s . . . falungong
",disapproval,y
"Great to see talking about looking forward to the summit
",admiration,y
"Her m dical issues Suddenly cured Maria Sharapova  determined to fight back  after failed drugs test
",disapproval,y
"Let her say whatever now I donot think that I'll be able to see Maria Sharapova the same way again.
",interest,y
"Mar 7 2016 Los Angeles CA USA Maria Sharapova speaks to the media announcing a failed drug test
",disapproval,y
"Maria Sharapova continues with her ridiculous explanation Drug
",rage,y
"Maria Sharapova denies she had been warned five times about the impending ban on meldonium and says she  . . . news
",fear,y
"Maria Sharapova fights back in doping case
",disapproval,y
"Maria Sharapova gets defensive in Facebook post following doping reports
",acceptance,y
"Maria Sharapova issues a fresh statement as she fights a PR war following her positive drug test
",acceptance,y
"Maria Sharapova posts letter to her fans on Facebook page I want to reach out to you to share some informatio . . .
",love,y
"Maria Sharapova posts letter to her fans on Facebook page USA
",love,y
"Maria Sharapova s Intentions Are Irrelevant via
",interest,y
"Maria Sharapova vows to return to tennis Sport
",love,y
"news Maria Sharapova controversy highlights challenges for brands working with celebrities
",interest,y
"Nike suspends contract with Maria Sharapova MariaSharapova . . .
",disapproval,y
"Rebel brand should pick up disgraced stars for pennies on the dollar. Sadly too many pennies for openstack budget
",disapproval,y
"retweet After Penetta Vinci defending Maria. Starting to appreciate Italian girls
",appreciation,y
"retweet Best article yet on Sharapova .
",love,y
"retweet Clear and very well written article that analyses every point of Sharapova s doping case . Thanks IStandWithMaria
",admiration,y
"retweet Former world No 1 Maria Sharapova has withdrawn from this month s BNP Paribas Open at Indian Wells in California due to a pe
",interest,y
"retweet Had this been Serena she d be black balled and her career would be over . Sharapova gets 0 sympathy from me .
",loathing,y
"retweet Maria Sharapova posts letter to her fans on Facebook page
",love,y
"retweet Maria Sharapova s Intentions Are Irrelevant UniteBlue
",interest,y
"retweet More than 60 top athletes tested positive for drug that Maria Sharapova admitted using
",acceptance,y
"retweet My theory about why there have been so many meldonium positives . Sharapova is one of 99 so far .
",interest,y
"retweet New Tennis Podcast up . Includes bombshell statement of Maria Sharapova . Plus Davis Cup Bud Collins tribute .
",surprise,y
"retweet Once Maria Sharapova Asked Who is Sachin Tendulkar . She Was Banned From Tennis After Failing In Drug Test. Never Mess Wi
",disapproval,y
"retweet Reaction to yesterday s GOP debate then Maria Sharapova s failed drug test . audio podcast
",disapproval,y
"retweet Sorry to break it to you but we don t ALL think Maria is a cheat .
",love,y
"retweet The Quirky History of Meldonium From a Latvian Lab to Maria Sharapova
",interest,y
"retweet You re our Maria and there s nothing to add LetMariaPlay IStandWithMaria
",admiration,y
"SageLinQ World Maria Sharapova's confession 'could reduce punishment'
",interest,y
"Serena Williams salue le courage de Maria Sharapova Dopage
",admiration,y
"Serena Williams Surprised amp Shocked By Maria Sharapova s Announcement
",surprise,y
"Sharapova fights back after  distorted  reporting of doping case Maria Sharapova denies she ha . . . sport tennis
",disapproval,y
"Sharapova fights back after  distorted  reporting of doping case Maria Sharapova denies she had been  . . . Tennis
",disapproval,y
"Sharapova fights back in doping case Maria Sharapova denies she had been warned five times about the impending ban on meldonium and  . . .
",disapproval,y
"Tennis racket company says it will continue to sponsor Maria Sharapova . . .
",interest,y
"Tennis to nominate a three person panel to discuss Sharapova s fate . Penalty depends on degree of fault .
",interest,y
"You must be banned for taking drugs  Rafael Nadal amp Andy Murray tell Maria Sharapova
",disapproval,y
"Classy by Serena but if were the other way around Serena would be showed no mercy Sharapova SerenaWilliams
",loathing,y
retweet It's not just Maria Sharapova nearly 100 meldonium use cases have been found in 2016,apprehension,y
"retweet Nike which took a strong stand against Maria Sharapova this week still profiting from her name at Indian Wells . https
",acceptance,y
"The 20 photographs of the week The deteriorating refugee crisis in Europe Maria Sharapova s positive drug te . . .
",fear,y
"CNN Sharapova fights back in doping case Maria Sharapova denies she had been warned five ti . . . United States
",fear,n
"Hey Check This Out Maria Sharapova controversy highlights challenges for brands . . .
",rage,n
"How much could a failed test cost Maria Sharapova The numbers behind the tennis star
",disapproval,n
"I wonder what the relative reaction would be if this was Serena Williams and not Maria Sharapova deyknowweknow
",amazement,n
"Maria Sharapova  determined to fight back  after failed drugs test with you all the way champion
",disapproval,n
"Maria Sharapova s aura will forever bear a blemish amid the doubts Thought this was the Richard Williams but no .
",acceptance,n
"Pipsfinder Latest How much could a failed test cost Maria Sharapova The numbers behind
",disapproval,n
"retweet  . and Maria Sharapova IPTL2 GoRoyals
",love,n
"retweet Courageous human and brave. Novak Djokovic on how Maria Sharapova has dealt with her positive drugs test.
",fear,n
"retweet Drug in Doping Case Used by Soviet Troops in 1980s to boost their stamina
",optimism,n
"retweet Follow Maria Sharapova posts letter to her fans on Facebook page USA TODAY
",acceptance,n
"retweet Maria Sharapova denies reports she was warned five times over meldonium
",fear,n
"retweet Maria Sharapova to her fans Wrong things have been reported in the media and I am determined to fight back
",love,n
"retweet Maria Sharapova's failed drug test is great publicity little known Latvian drugmaker says
",disapproval,n
"retweet Not just Maria Sharapova Dozens including Olympic medalists test positive for meldonium
",fear,n
"retweet The New Health Care Maria Sharapova and the Pharmaceutical Quest for an Edge
",love,n
"Sharapova fights back in doping case Maria Sharapova denies she had been warned five times abou . . . breakingnews
",fear,n
"Sharapova fights back in doping case Maria Sharapova denies she had been warned five times about the imp . . . CNN
",fear,n
"Sharapova s racket sponsor meldonium shouldn t be banned Maria Sharapova s racket supplier says the drug she
",disapproval,n
